signal,signal2,time
0.314159265,0.309016994,0.1
0.628318531,0.587785252,0.2
0.942477796,0.809016994,0.3
1.256637061,0.951056516,0.4
1.570796327,1,0.5
1.884955592,0.951056516,0.6
2.199114858,0.809016994,0.7
2.513274123,0.587785252,0.8
2.827433388,0.309016994,0.9
3.141592654,0,1
3.455751919,-0.309016994,1.1
3.769911184,-0.587785252,1.2
4.08407045,-0.809016994,1.3
4.398229715,-0.951056516,1.4
4.71238898,-1,1.5
5.026548246,-0.951056516,1.6
5.340707511,-0.809016994,1.7
5.654866776,-0.587785252,1.8
5.969026042,-0.309016994,1.9
6.283185307,0,2
6.597344573,0.309016994,2.1
6.911503838,0.587785252,2.2
7.225663103,0.809016994,2.3
7.539822369,0.951056516,2.4
7.853981634,1,2.5
8.168140899,0.951056516,2.6
8.482300165,0.809016994,2.7
8.79645943,0.587785252,2.8
9.110618695,0.309016994,2.9
9.424777961,0,3
9.738937226,-0.309016994,3.1
10.05309649,-0.587785252,3.2
10.36725576,-0.809016994,3.3
10.68141502,-0.951056516,3.4
10.99557429,-1,3.5
11.30973355,-0.951056516,3.6
11.62389282,-0.809016994,3.7
11.93805208,-0.587785252,3.8
12.25221135,-0.309016994,3.9
12.56637061,0,4
12.88052988,0.309016994,4.1
13.19468915,0.587785252,4.2
13.50884841,0.809016994,4.3
13.82300768,0.951056516,4.4
14.13716694,1,4.5
14.45132621,0.951056516,4.6
14.76548547,0.809016994,4.7
15.07964474,0.587785252,4.8
15.393804,0.309016994,4.9
15.70796327,0,5
16.02212253,-0.309016994,5.1
16.3362818,-0.587785252,5.2
16.65044106,-0.809016994,5.3
16.96460033,-0.951056516,5.4
17.27875959,-1,5.5
17.59291886,-0.951056516,5.6
17.90707813,-0.809016994,5.7
18.22123739,-0.587785252,5.8
18.53539666,-0.309016994,5.9
18.84955592,0,6
19.16371519,0.309016994,6.1
19.47787445,0.587785252,6.2
19.79203372,0.809016994,6.3
20.10619298,0.951056516,6.4
20.42035225,1,6.5
20.73451151,0.951056516,6.6
21.04867078,0.809016994,6.7
21.36283004,0.587785252,6.8
21.67698931,0.309016994,6.9
21.99114858,0,7
22.30530784,-0.309016994,7.1
22.61946711,-0.587785252,7.2
22.93362637,-0.809016994,7.3
23.24778564,-0.951056516,7.4
23.5619449,-1,7.5
23.87610417,-0.951056516,7.6
24.19026343,-0.809016994,7.7
24.5044227,-0.587785252,7.8
24.81858196,-0.309016994,7.9
25.13274123,0,8
25.44690049,0.309016994,8.1
25.76105976,0.587785252,8.2
26.07521902,0.809016994,8.3
26.38937829,0.951056516,8.4
26.70353756,1,8.5
27.01769682,0.951056516,8.6
27.33185609,0.809016994,8.7
27.64601535,0.587785252,8.8
27.96017462,0.309016994,8.9
28.27433388,0,9
28.58849315,-0.309016994,9.1
28.90265241,-0.587785252,9.2
29.21681168,-0.809016994,9.3
29.53097094,-0.951056516,9.4
29.84513021,-1,9.5
30.15928947,-0.951056516,9.6
30.47344874,-0.809016994,9.7
30.78760801,-0.587785252,9.8
31.10176727,-0.309016994,9.9
31.41592654,0,10
31.7300858,0.309016994,10.1
32.04424507,0.587785252,10.2
32.35840433,0.809016994,10.3
32.6725636,0.951056516,10.4
32.98672286,1,10.5
33.30088213,0.951056516,10.6
33.61504139,0.809016994,10.7
33.92920066,0.587785252,10.8
34.24335992,0.309016994,10.9
34.55751919,0,11
34.87167845,-0.309016994,11.1
35.18583772,-0.587785252,11.2
35.49999699,-0.809016994,11.3
35.81415625,-0.951056516,11.4
36.12831552,-1,11.5
36.44247478,-0.951056516,11.6
36.75663405,-0.809016994,11.7
37.07079331,-0.587785252,11.8
37.38495258,-0.309016994,11.9
37.69911184,0,12
38.01327111,0.309016994,12.1
38.32743037,0.587785252,12.2
38.64158964,0.809016994,12.3
38.9557489,0.951056516,12.4
39.26990817,1,12.5
39.58406744,0.951056516,12.6
39.8982267,0.809016994,12.7
40.21238597,0.587785252,12.8
40.52654523,0.309016994,12.9
40.8407045,0,13
41.15486376,-0.309016994,13.1
41.46902303,-0.587785252,13.2
41.78318229,-0.809016994,13.3
42.09734156,-0.951056516,13.4
42.41150082,-1,13.5
42.72566009,-0.951056516,13.6
43.03981935,-0.809016994,13.7
43.35397862,-0.587785252,13.8
43.66813788,-0.309016994,13.9
43.98229715,0,14
44.29645642,0.309016994,14.1
44.61061568,0.587785252,14.2
44.92477495,0.809016994,14.3
45.23893421,0.951056516,14.4
45.55309348,1,14.5
45.86725274,0.951056516,14.6
46.18141201,0.809016994,14.7
46.49557127,0.587785252,14.8
46.80973054,0.309016994,14.9
47.1238898,0,15
47.43804907,-0.309016994,15.1
47.75220833,-0.587785252,15.2
48.0663676,-0.809016994,15.3
48.38052687,-0.951056516,15.4
48.69468613,-1,15.5
49.0088454,-0.951056516,15.6
49.32300466,-0.809016994,15.7
49.63716393,-0.587785252,15.8
49.95132319,-0.309016994,15.9
50.26548246,0,16
50.57964172,0.309016994,16.1
50.89380099,0.587785252,16.2
51.20796025,0.809016994,16.3
51.52211952,0.951056516,16.4
51.83627878,1,16.5
52.15043805,0.951056516,16.6
52.46459731,0.809016994,16.7
52.77875658,0.587785252,16.8
53.09291585,0.309016994,16.9
53.40707511,0,17
53.72123438,-0.309016994,17.1
54.03539364,-0.587785252,17.2
54.34955291,-0.809016994,17.3
54.66371217,-0.951056516,17.4
54.97787144,-1,17.5
55.2920307,-0.951056516,17.6
55.60618997,-0.809016994,17.7
55.92034923,-0.587785252,17.8
56.2345085,-0.309016994,17.9
56.54866776,0,18
56.86282703,0.309016994,18.1
57.1769863,0.587785252,18.2
57.49114556,0.809016994,18.3
57.80530483,0.951056516,18.4
58.11946409,1,18.5
58.43362336,0.951056516,18.6
58.74778262,0.809016994,18.7
59.06194189,0.587785252,18.8
59.37610115,0.309016994,18.9
59.69026042,0,19
60.00441968,-0.309016994,19.1
60.31857895,-0.587785252,19.2
60.63273821,-0.809016994,19.3
60.94689748,-0.951056516,19.4
61.26105675,-1,19.5
61.57521601,-0.951056516,19.6
61.88937528,-0.809016994,19.7
62.20353454,-0.587785252,19.8
62.51769381,-0.309016994,19.9
